,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,k2_label,k3_label,k4_label,k5_label,k6_label,k7_label,k8_label,k9_label,k10_label,k11_label,k12_label,k13_label,k14_label
1,5.1,3.5,1.4,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
2,4.9,3.0,1.4,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
3,4.7,3.2,1.3,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
4,4.6,3.1,1.5,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
5,5.0,3.6,1.4,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
6,5.4,3.9,1.7,0.4,0,1,0,0,2,4,3,0,7,8,8,8,0
7,4.6,3.4,1.4,0.3,0,1,0,0,5,2,0,3,4,5,0,4,1
8,5.0,3.4,1.5,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
9,4.4,2.9,1.4,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
10,4.9,3.1,1.5,0.1,0,1,0,0,5,2,0,3,4,5,0,4,1
11,5.4,3.7,1.5,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
12,4.8,3.4,1.6,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
13,4.8,3.0,1.4,0.1,0,1,0,0,5,2,0,3,4,5,0,4,1
14,4.3,3.0,1.1,0.1,0,1,0,0,5,2,0,3,4,5,0,4,1
15,5.8,4.0,1.2,0.2,0,1,0,0,2,4,3,0,7,8,8,8,0
16,5.7,4.4,1.5,0.4,0,1,0,0,2,4,3,0,7,8,8,8,0
17,5.4,3.9,1.3,0.4,0,1,0,0,2,4,3,0,7,8,8,8,0
18,5.1,3.5,1.4,0.3,0,1,0,0,2,4,3,8,0,3,6,2,5
19,5.7,3.8,1.7,0.3,0,1,0,0,2,4,3,0,7,8,8,8,0
20,5.1,3.8,1.5,0.3,0,1,0,0,2,4,3,8,0,3,6,2,5
21,5.4,3.4,1.7,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
22,5.1,3.7,1.5,0.4,0,1,0,0,2,4,3,8,0,3,6,2,5
23,4.6,3.6,1.0,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
24,5.1,3.3,1.7,0.5,0,1,0,0,2,4,3,8,0,3,6,2,5
25,4.8,3.4,1.9,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
26,5.0,3.0,1.6,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
27,5.0,3.4,1.6,0.4,0,1,0,0,2,4,3,8,0,3,6,2,5
28,5.2,3.5,1.5,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
29,5.2,3.4,1.4,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
30,4.7,3.2,1.6,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
31,4.8,3.1,1.6,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
32,5.4,3.4,1.5,0.4,0,1,0,0,2,4,3,8,0,3,6,2,5
33,5.2,4.1,1.5,0.1,0,1,0,0,2,4,3,0,7,8,8,8,0
34,5.5,4.2,1.4,0.2,0,1,0,0,2,4,3,0,7,8,8,8,0
35,4.9,3.1,1.5,0.1,0,1,0,0,5,2,0,3,4,5,0,4,1
36,5.0,3.2,1.2,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
37,5.5,3.5,1.3,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
38,4.9,3.1,1.5,0.1,0,1,0,0,5,2,0,3,4,5,0,4,1
39,4.4,3.0,1.3,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
40,5.1,3.4,1.5,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
41,5.0,3.5,1.3,0.3,0,1,0,0,2,4,3,8,0,3,6,2,5
42,4.5,2.3,1.3,0.3,0,1,0,0,5,2,0,3,4,5,0,4,1
43,4.4,3.2,1.3,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
44,5.0,3.5,1.6,0.6,0,1,0,0,2,4,3,8,0,3,6,2,5
45,5.1,3.8,1.9,0.4,0,1,0,0,2,4,3,8,0,3,6,2,5
46,4.8,3.0,1.4,0.3,0,1,0,0,5,2,0,3,4,5,0,4,1
47,5.1,3.8,1.6,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
48,4.6,3.2,1.4,0.2,0,1,0,0,5,2,0,3,4,5,0,4,1
49,5.3,3.7,1.5,0.2,0,1,0,0,2,4,3,8,0,3,6,2,5
50,5.0,3.3,4.35,0.2,1,0,3,3,3,0,4,1,6,1,11,11,12
51,7.0,3.2,4.7,1.4,1,0,1,1,1,1,7,4,2,0,5,6,10
52,6.4,3.2,4.5,1.5,1,0,1,1,1,1,7,4,2,0,5,6,10
53,6.9,3.1,4.9,1.5,1,2,2,2,4,3,2,2,1,7,2,7,8
54,5.5,2.3,4.0,1.3,1,0,3,3,3,0,4,1,6,1,4,0,3
55,6.5,2.8,4.6,1.5,1,0,1,1,1,1,7,4,2,0,5,6,10
56,5.7,2.8,4.5,1.3,1,0,1,1,1,1,1,5,3,2,1,1,6
57,6.3,3.3,4.7,1.6,1,0,1,1,1,1,7,4,2,0,5,6,10
58,4.9,2.4,3.3,1.0,0,0,3,3,3,6,6,7,8,9,9,3,9
59,6.6,2.9,4.6,1.3,1,0,1,1,1,1,7,4,2,0,5,6,10
60,5.2,2.7,3.9,1.4,1,0,3,3,3,0,4,1,6,1,4,0,13
61,5.0,2.0,3.5,1.0,1,0,3,3,3,6,6,7,8,9,9,3,9
62,5.9,3.0,4.2,1.5,1,0,1,1,1,1,7,4,2,0,5,12,2
63,6.0,2.2,4.0,1.0,1,0,3,3,3,0,4,1,6,1,4,0,3
64,6.1,2.9,4.7,1.4,1,0,1,1,1,1,7,4,2,0,5,12,2
65,5.6,2.9,3.6,1.3,1,0,3,3,3,0,4,1,6,1,4,0,3
66,6.7,3.1,4.4,1.4,1,0,1,1,1,1,7,4,2,0,5,6,10
67,5.6,3.0,4.5,1.5,1,0,1,1,1,1,1,5,3,2,1,1,6
68,5.8,2.7,4.1,1.0,1,0,3,3,3,0,4,1,6,1,4,0,3
69,6.2,2.2,4.5,1.5,1,0,1,1,1,1,1,5,3,2,1,1,6
70,5.6,2.5,3.9,1.1,1,0,3,3,3,0,4,1,6,1,4,0,3
71,5.9,3.2,4.8,1.8,1,0,1,1,1,1,1,5,3,2,1,1,6
72,6.1,2.8,4.0,1.3,1,0,3,3,3,0,4,1,6,1,4,0,3
73,6.3,2.5,4.9,1.5,1,0,1,1,1,1,1,5,3,2,1,1,6
74,6.1,2.8,4.7,1.3,1,0,1,1,1,1,7,4,2,0,5,12,2
75,6.4,2.9,4.3,1.3,1,0,1,1,1,1,7,4,2,0,5,12,2
76,6.6,3.0,4.4,1.4,1,0,1,1,1,1,7,4,2,0,5,6,10
77,6.8,2.8,4.8,1.4,1,0,1,1,1,1,7,4,2,0,5,6,10
78,6.7,3.0,4.35,1.7,1,0,1,1,1,1,7,4,2,0,5,6,10
79,6.0,2.9,4.5,1.5,1,0,1,1,1,1,7,4,2,0,5,12,2
80,5.7,2.6,3.5,1.0,1,0,3,3,3,0,4,1,6,1,4,0,3
81,5.5,2.4,3.8,1.1,1,0,3,3,3,0,4,1,6,1,4,0,3
82,5.5,2.4,3.7,1.0,1,0,3,3,3,0,4,1,6,1,4,0,3
83,5.8,2.7,3.9,1.2,1,0,3,3,3,0,4,1,6,1,4,0,3
84,6.0,2.7,5.1,1.6,1,0,1,1,1,1,1,5,3,2,1,1,6
85,5.4,3.0,4.5,1.5,1,0,3,3,3,0,4,1,6,1,4,0,13
86,6.0,3.4,4.5,1.6,1,0,1,1,1,1,7,4,2,0,5,12,2
87,6.7,3.1,4.7,1.5,1,0,1,1,1,1,7,4,2,0,5,6,10
88,6.3,2.3,4.4,1.3,1,0,1,1,1,1,7,4,2,0,5,12,2
89,5.6,3.0,4.1,1.3,1,0,3,3,3,0,4,1,6,1,4,0,13
90,5.5,2.5,4.0,1.3,1,0,3,3,3,0,4,1,6,1,4,0,3
91,5.5,2.6,4.4,1.2,1,0,3,3,3,0,4,1,6,1,4,0,13
92,6.1,3.0,4.6,1.4,1,0,1,1,1,1,7,4,2,0,5,12,2
93,5.8,2.6,4.0,1.2,1,0,3,3,3,0,4,1,6,1,4,0,3
94,5.0,2.3,3.3,1.0,0,0,3,3,3,6,6,7,8,9,9,3,9
95,5.6,2.7,4.2,1.3,1,0,3,3,3,0,4,1,6,1,4,0,13
96,5.7,3.0,4.2,1.2,1,0,3,3,3,0,4,1,6,1,4,0,13
97,5.7,2.9,4.2,1.3,1,0,3,3,3,0,4,1,6,1,4,0,13
98,6.2,2.9,4.3,1.3,1,0,1,1,1,1,7,4,2,0,5,12,2
99,5.1,2.5,3.0,1.1,0,0,3,3,3,6,6,7,8,9,9,3,9
100,5.7,2.8,4.1,1.3,1,0,3,3,3,0,4,1,6,1,4,0,13
101,6.3,3.3,6.0,2.5,1,2,2,2,4,3,2,2,9,6,3,5,4
102,5.8,2.7,5.1,1.9,1,0,1,1,1,1,1,5,3,2,1,1,6
103,7.1,3.0,5.9,2.1,1,2,2,4,0,5,5,6,5,4,7,10,7
104,6.3,2.9,5.6,1.8,1,2,2,2,4,3,2,2,1,7,2,7,8
105,6.5,3.0,5.8,2.2,1,2,2,2,4,3,2,2,9,6,3,5,4
106,7.6,3.0,6.6,2.1,1,2,2,4,0,5,5,6,5,10,10,9,11
107,4.9,2.5,4.5,1.7,1,0,3,3,3,0,4,1,6,1,4,0,13
108,7.3,2.9,6.3,1.8,1,2,2,4,0,5,5,6,5,4,7,10,7
109,6.7,2.5,5.8,1.8,1,2,2,2,4,3,2,2,1,7,2,7,8
110,7.2,3.6,6.1,2.5,1,2,2,4,0,5,5,6,5,10,10,9,11
111,6.5,3.2,5.1,2.0,1,2,2,2,4,3,2,2,1,7,2,7,8
112,6.4,2.7,5.3,1.9,1,2,2,2,4,3,2,2,1,7,2,7,8
113,6.8,3.0,5.5,2.1,1,2,2,2,4,3,2,2,9,6,3,5,4
114,5.7,2.5,5.0,2.0,1,0,1,1,1,1,1,5,3,2,1,1,6
115,5.8,2.8,5.1,2.4,1,0,1,1,1,1,1,5,3,2,1,1,6
116,6.4,3.2,5.3,2.3,1,2,2,2,4,3,2,2,9,6,3,5,4
117,6.5,3.0,5.5,1.8,1,2,2,2,4,3,2,2,1,7,2,7,8
118,7.7,3.8,6.7,2.2,1,2,2,4,0,5,5,6,5,10,10,9,11
119,7.7,3.0,6.9,2.3,1,2,2,4,0,5,5,6,5,10,10,9,11
120,6.0,2.2,5.0,1.5,1,0,1,1,1,1,1,5,3,2,1,1,6
121,6.9,3.2,5.7,2.3,1,2,2,2,4,3,2,2,9,6,3,5,4
122,5.6,2.8,4.9,2.0,1,0,1,1,1,1,1,5,3,2,1,1,6
123,7.7,2.8,6.7,2.0,1,2,2,4,0,5,5,6,5,10,10,9,11
124,6.3,2.7,4.9,1.8,1,0,1,1,1,1,1,5,3,2,1,1,6
125,6.7,3.3,5.7,2.1,1,2,2,2,4,3,2,2,9,6,3,5,4
126,7.2,3.2,6.0,1.8,1,2,2,4,0,5,5,6,5,4,7,10,7
127,6.2,2.8,4.8,1.8,1,0,1,1,1,1,1,5,3,2,1,1,6
128,6.1,3.0,4.9,1.8,1,0,1,1,1,1,1,5,3,2,1,1,6
129,6.4,2.8,5.6,2.1,1,2,2,2,4,3,2,2,1,7,2,7,8
130,7.2,3.0,5.8,1.6,1,2,2,4,0,5,5,6,5,4,7,10,7
131,7.4,2.8,6.1,1.9,1,2,2,4,0,5,5,6,5,4,7,10,7
